Date,Service,Region,UsageType,UsageAmount,Cost
2025-07-18,S3,eu-central-1,StorageGB,479.55,184.7
2025-07-18,Lambda,us-east-1,Requests,26.3,9.56
2025-07-18,RDS,us-west-2,DBHours,229.72,47.1
2025-07-18,CloudFront,eu-central-1,DataTransferGB,275.81,48.49
2025-07-19,EC2,us-west-2,OnDemandHours,95.74,38.27
2025-07-19,S3,us-east-1,StorageGB,401.69,186.83
2025-07-19,Lambda,eu-central-1,Requests,405.18,169.69
2025-07-19,RDS,ap-south-1,DBHours,285.69,46.66
2025-07-19,CloudFront,ap-south-1,DataTransferGB,255.52,59.61
2025-07-20,EC2,eu-central-1,OnDemandHours,143.86,50.99
2025-07-20,S3,eu-central-1,StorageGB,42.25,5.45
2025-07-20,Lambda,us-east-1,Requests,118.7,57.99
2025-07-20,RDS,us-east-1,DBHours,492.02,22.43
2025-07-20,CloudFront,ap-south-1,DataTransferGB,27.45,1.35
2025-07-21,EC2,us-east-1,OnDemandHours,87.51,43.56
2025-07-21,S3,eu-central-1,StorageGB,246.45,77.69
2025-07-21,Lambda,us-east-1,Requests,58.43,9.62
2025-07-21,RDS,eu-central-1,DBHours,283.63,134.16
2025-07-21,CloudFront,us-west-2,DataTransferGB,414.68,8.46
2025-07-22,EC2,us-east-1,OnDemandHours,83.48,10.24
2025-07-22,S3,us-east-1,StorageGB,347.96,8.02
2025-07-22,Lambda,ap-south-1,Requests,300.77,50.3
2025-07-22,RDS,us-east-1,DBHours,13.46,6.08
2025-07-22,CloudFront,ap-south-1,DataTransferGB,386.75,143.45
2025-07-23,EC2,us-west-2,OnDemandHours,256.93,114.51
2025-07-23,S3,eu-central-1,StorageGB,84.6,26.53
2025-07-23,Lambda,ap-south-1,Requests,99.16,9.76
2025-07-23,RDS,eu-central-1,DBHours,249.25,65.5
2025-07-23,CloudFront,eu-central-1,DataTransferGB,317.26,43.8
2025-07-24,EC2,us-east-1,OnDemandHours,140.65,20.94
2025-07-24,S3,eu-central-1,StorageGB,106.52,32.55
2025-07-24,Lambda,us-west-2,Requests,402.16,115.95
2025-07-24,RDS,eu-central-1,DBHours,431.15,4.9
2025-07-24,CloudFront,us-west-2,DataTransferGB,496.31,130.88
2025-07-25,EC2,eu-central-1,OnDemandHours,292.75,10.91
2025-07-25,S3,eu-central-1,StorageGB,282.51,92.24
2025-07-25,Lambda,us-east-1,Requests,288.74,139.94
2025-07-25,RDS,eu-central-1,DBHours,346.09,102.64
2025-07-25,CloudFront,eu-central-1,DataTransferGB,160.66,61.86
2025-07-26,EC2,eu-central-1,OnDemandHours,47.41,7.12
2025-07-26,S3,us-east-1,StorageGB,251.73,23.5
2025-07-26,Lambda,us-east-1,Requests,386.77,161.02
2025-07-26,RDS,us-east-1,DBHours,386.55,165.26
2025-07-26,CloudFront,eu-central-1,DataTransferGB,255.5,65.52
2025-07-27,EC2,us-east-1,OnDemandHours,443.98,9.96
2025-07-27,S3,ap-south-1,StorageGB,334.34,22.0
2025-07-27,Lambda,us-west-2,Requests,249.85,71.22
2025-07-27,RDS,ap-south-1,DBHours,304.52,96.38
2025-07-27,CloudFront,us-west-2,DataTransferGB,168.86,23.72
2025-07-28,EC2,eu-central-1,OnDemandHours,227.85,78.82
2025-07-28,S3,us-west-2,StorageGB,337.21,15.71
2025-07-28,Lambda,ap-south-1,Requests,316.23,138.33
2025-07-28,RDS,ap-south-1,DBHours,230.52,45.85
2025-07-28,CloudFront,us-west-2,DataTransferGB,381.77,98.63
2025-07-29,EC2,us-east-1,OnDemandHours,170.92,46.93
2025-07-29,S3,us-east-1,StorageGB,394.39,111.52
2025-07-29,Lambda,ap-south-1,Requests,66.18,18.19
2025-07-29,RDS,us-west-2,DBHours,144.43,23.24
2025-07-29,CloudFront,us-east-1,DataTransferGB,50.78,3.68
2025-07-30,EC2,eu-central-1,OnDemandHours,195.08,18.06
2025-07-30,S3,eu-central-1,StorageGB,314.05,97.08
2025-07-30,Lambda,eu-central-1,Requests,137.88,1.86
2025-07-30,RDS,eu-central-1,DBHours,262.93,77.6
2025-07-30,CloudFront,eu-central-1,DataTransferGB,380.28,29.05
